address	size	name	source	frame	leaf	calls	tail_calls	jump_tables	unresolved
0x80028B90	596	fn_80028B90	auto	1	0	1	0	0	0
0x80028DE4	40	fn_80028DE4	auto	1	0	1	0	0	0
0x80028E0C	28	fn_80028E0C	auto	0	1	0	0	0	0
0x80028E28	532	fn_80028E28	auto	1	1	0	0	0	0
0x8002903C	52	fn_8002903C	auto	1	0	1	0	0	0
0x80029070	56	fn_80029070	auto	1	0	2	0	0	0
0x800290A8	64	fn_800290A8	auto	0	1	0	0	0	0
0x800290E8	128	fn_800290E8	auto	0	1	0	0	0	0
0x80029168	212	fn_80029168	auto	1	1	0	0	1	0
0x8002923C	188	fn_8002923C	auto	0	1	0	0	0	0
0x800292F8	108	fn_800292F8	auto	0	1	0	0	0	0
0x80029364	200	fn_80029364	auto	0	1	0	0	0	0
0x8002942C	188	fn_8002942C	auto	1	1	0	0	0	0
0x800294E8	248	fn_800294E8	auto	0	1	0	0	0	0
0x800295E0	76	fn_800295E0	auto	0	1	0	0	0	0
0x8002962C	76	fn_8002962C	auto	0	1	0	0	0	0
0x80029678	36	fn_80029678	auto	0	1	0	0	0	0
0x8002969C	740	fn_8002969C	auto	1	0	5	0	0	0
0x80029980	496	fn_80029980	auto	1	0	1	0	0	0
0x80029B70	1220	fn_80029B70	auto	1	0	8	0	0	0
0x8002A034	1344	fn_8002A034	auto	0	1	0	0	0	0
0x8002A574	2992	fn_8002A574	auto	1	0	11	0	0	0
0x8002B124	220	fn_8002B124	auto	1	0	4	0	0	0
0x8002B200	524	fn_8002B200	auto	1	0	8	0	0	0
0x8002B40C	376	fn_8002B40C	auto	1	0	6	0	0	0
0x8002B584	1004	fn_8002B584	auto	1	0	8	0	0	0
0x8002B970	284	fn_8002B970	auto	1	0	2	0	0	0
0x8002BA8C	288	fn_8002BA8C	auto	1	0	1	0	0	0
0x8002BBAC	8	fn_8002BBAC	auto	0	1	0	0	0	0
0x8002BBB4	72	fn_8002BBB4	auto	1	0	1	0	0	0
0x8002BBFC	72	fn_8002BBFC	auto	1	0	1	0	0	0
0x8002BC44	8	fn_8002BC44	auto	0	1	0	0	0	0
0x8002BC4C	316	fn_8002BC4C	auto	1	0	2	0	0	0
0x8002BD88	648	fn_8002BD88	auto	1	1	0	0	0	0
0x8002C010	236	fn_8002C010	auto	0	1	0	0	0	0
0x8002C0FC	140	fn_8002C0FC	auto	1	0	1	0	0	0
0x8002C188	32	fn_8002C188	auto	1	0	1	0	0	0
0x8002C1A8	104	fn_8002C1A8	auto	0	1	0	0	0	0
0x8002C210	124	fn_8002C210	auto	0	1	0	0	0	0
0x8002C28C	36	fn_8002C28C	auto	0	1	0	0	0	0
0x8002C2B0	176	fn_8002C2B0	auto	1	0	1	0	0	0
0x8002C360	188	fn_8002C360	auto	1	0	1	0	0	0
0x8002C41C	132	fn_8002C41C	auto	1	0	1	0	0	0
0x8002C4A0	124	fn_8002C4A0	auto	1	0	2	0	0	0
0x8002C51C	136	fn_8002C51C	auto	1	0	1	0	0	0
